mkinitcpio-busybox 1.36.1-1
mobile-broadband-provider-info 20251101-1
mpdecimal 4.0.1-3
mpfr 4.2.2-1
mpg123 1.33.4-1
msgpack-c 6.1.0-2
mtdev 1.1.7-1
nano 8.7.1-1
ncurses 6.6-1
neon 0.37.1-1
neovim 0.11.6-1
net-snmp 5.9.5.2-1
nettle 3.10.2-1
networkmanager 1.56.0-1
nitrogen 1.6.1-6
nitrogen-debug 1.6.1-6
node-gyp 12.2.0-1
nodejs 25.8.1-1
nodejs-nopt 8.1.0-1
nordic-darker-theme 2.2.0-1
noto-fonts 1:2026.03.01-1
noto-fonts-emoji 1:2.051-1
npm 11.12.0-1
npth 1.8-1
nspr 4.38.2-1
nss 3.121-1
ocl-icd 2.3.4-1
okular 25.12.3-1
openal 1.25.1-1
opencore-amr 0.1.6-2
openjpeg2 2.5.4-1
openssh 10.2p1-2
openssl 3.6.1-1
opus 1.6.1-1
orc 0.4.42-1
p11-kit 0.26.2-1
pacman 7.1.0.r9.g54d9411-1
pacman-mirrorlist 20260213-1
pam 1.7.2-2
pambase 20250719-1
pango 1:1.57.0-2
pangomm 2.46.4-1
pangomm-2.48 2.56.1-1
parted 3.6-2
patch 2.8-1
pavucontrol 1:6.2-1
pciutils 3.14.0-1
pcre 8.45-4
pcre2 10.47-1
pcsclite 2.4.1-1
perl 5.42.1-1
perl-alien-build 2.84-4
perl-alien-libxml2 0.20-5
perl-capture-tiny 0.50-4
perl-clone 0.48-1
perl-data-dump 1.25-8
perl-dbi 1.647-2
perl-error 0.17030-3
perl-ffi-checklib 0.31-8
perl-file-chdir 0.1011-6
perl-file-which 1.27-8
perl-mailtools 2.22-3
perl-path-tiny 0.150-2
perl-timedate 2.34-1
perl-xml-libxml 2.0210-4
perl-xml-namespacesupport 1.12-6
perl-xml-sax 1.02-2
perl-xml-sax-base 1.09-6
phonon-qt6 4.12.0-5
phonon-qt6-vlc 0.12.0-5
picom 13-1
pinentry 1.3.2-2
pipewire 1:1.6.2-1
pipewire-alsa 1:1.6.2-1
pipewire-audio 1:1.6.2-1
pipewire-jack 1:1.6.2-1
pipewire-pulse 1:1.6.2-1
pixman 0.46.4-1
pkgconf 2.5.1-1
polkit 127-3
polybar 3.7.2-2
poppler 26.03.0-1
poppler-data 0.4.12-2
poppler-qt6 26.03.0-1
popt 1.19-2
portaudio 1:19.7.0-4
